
="",="(1)",="(2)"
Panel A: South
="Number of marriages",="0.622***",="-0.203"
="",="(9.27)",="(-1.12)"

="Population",="",="0.0107***"
="",="",="(4.68)"

="Constant",="6626.2",="1783.3"
="",="(1.46)",="(0.58)"

="Observations",="16",="16"


Panel B: West
="Number of marriages",="0.737***",="0.00548"
="",="(5.98)",="(0.35)"

="Population",="",="0.00788***"
="",="",="(52.78)"

="Constant",="-5555.9",="-1297.2*"
="",="(-0.64)",="(-2.37)"

="Observations",="13",="13"

="t statistics in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
